timestamp,pos_type,split,split_detail,seed,val_acc,heldout_acc,heldout_T_acc,heldout_F_acc
2026-07-02T11:35:12,none,small_half,0-2->3-5,1337,0.500000,0.500000,0.000000,1.000000
2026-07-02T11:35:34,learned,small_half,0-2->3-5,1337,1.000000,0.500000,0.000000,1.000000
2026-07-02T11:36:12,sinusoidal,small_half,0-2->3-5,1337,1.000000,0.500000,1.000000,0.000000
2026-07-02T11:36:46,rope,small_half,0-2->3-5,1337,1.000000,1.000000,1.000000,1.000000
2026-07-02T11:37:22,t5,small_half,0-2->3-5,1337,1.000000,0.500000,0.000000,1.000000
2026-07-02T11:37:59,none,small_half,0-2->3-5,2024,0.500000,0.500000,0.000000,1.000000
2026-07-02T11:38:47,learned,small_half,0-2->3-5,2024,1.000000,0.500000,0.000000,1.000000
2026-07-02T11:39:12,sinusoidal,small_half,0-2->3-5,2024,1.000000,0.500000,0.000000,1.000000
2026-07-02T11:39:43,rope,small_half,0-2->3-5,2024,1.000000,1.000000,1.000000,1.000000
2026-07-02T11:40:03,t5,small_half,0-2->3-5,2024,1.000000,0.750000,0.500000,1.000000
2026-07-02T11:40:57,none,small_half,0-2->3-5,31415,0.500000,0.500000,1.000000,0.000000
2026-07-02T11:41:44,learned,small_half,0-2->3-5,31415,1.000000,0.500000,0.000000,1.000000
2026-07-02T11:42:39,sinusoidal,small_half,0-2->3-5,31415,1.000000,0.500000,0.000000,1.000000
2026-07-02T11:43:19,rope,small_half,0-2->3-5,31415,1.000000,1.000000,1.000000,1.000000
2026-07-02T11:44:11,t5,small_half,0-2->3-5,31415,1.000000,0.500000,0.000000,1.000000
2026-07-02T11:45:02,none,small_half,0-2->3-5,27182,0.500000,0.500000,0.000000,1.000000
2026-07-02T11:45:50,learned,small_half,0-2->3-5,27182,1.000000,0.500000,0.000000,1.000000
2026-07-02T11:46:29,sinusoidal,small_half,0-2->3-5,27182,1.000000,0.500000,1.000000,0.000000
2026-07-02T11:47:04,rope,small_half,0-2->3-5,27182,1.000000,1.000000,1.000000,1.000000
2026-07-02T11:47:28,t5,small_half,0-2->3-5,27182,1.000000,0.500000,0.000000,1.000000
